school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Nurse Aide,Nurse Aide Certification Practice Test,,"When questions are asked about a client's death, the nurse aide should tell other clients that:",the client was sent to the hospital.,the family took the client home.,the client died and encourage them to talk about it.,they should not ask such questions.,,,,C,Honesty plus emotional support is best practice: state the fact of death and allow expression of grief.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"For a client with dentures, which action should the aide perform during denture care?",Floss upper and lower teeth first.,Rinse the mouth with cool or warm water.,Clean dentures with a hard-bristled brush.,"Store dentures in a clean, dry cup.",,,,B,Mouth rinse removes debris and checks fit/comfort before re-insertion; dentures are cleaned with soft brush and kept moist.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"Before giving a bed bath, which action should the aide take FIRST?",Check water temperature.,Check the client's care plan.,Position bed at waist height.,Lower side-rail on working side.,,,,B,"Care plan lists precautions, mobility limits, and preferencesâ€”review before gathering supplies or adjusting bed.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A client on a liquid diet is served a large piece of meat. The FIRST thing the aide should do is:,report this to the nurse in charge.,cut meat into small pieces.,remove the tray.,give meat to another client.,,,,A,Diet errors are a safety issue; nurse must correct order and notify kitchen.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A relative asks in a supermarket if the client's roommate has ever been in a mental hospital. The BEST reply is:,It would not be right for me to talk about another client.,"I'm not sure, but I think so.","Yes, but the client is much better now.","I don't know, but I will check the record and call you.",,,,A,HIPAA and professional ethics prohibit disclosure of any information about other clients.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,How many hours of continuing education must an agency provide to nurse aides every year?,12 h,24 h,6 h,10 h,,,,A,Federal rule requires 12 clock-hours of in-service training per 12-month period.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Which term is defined as the knowledge of right and wrong?,Laws,Ethics,Living wills,Advance directives,,,,B,Ethics is the study of moral values; laws are enforceable rules.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A urinal is left on the bedside table. The BEST action before further care is to:,sanitize table with bleach.,clean table with a sterilizer.,wipe table with soap and water.,replace bedside table with a clean one.,,,,C,Soap-and-water wash removes organic residue; disinfectant is used after visible soil is removed.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A client shows the aide a large roll of money. The BEST action is:,say nothing so others won't know.,encourage client to keep money in office safe.,tell client to keep money in a wallet.,take money to charge nurse right away.,,,,D,Valuables are facility property until secured; follow policyâ€”usually nurse places in safe.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Adaptive devices are used to:,prevent infection.,remind staff of needs.,help client remain independent.,save aide time.,,,,C,"Adaptive equipment (reachers, built-up utensils) promotes client self-care.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Prompt changing of soiled incontinence briefs will help to:,prevent further incontinence.,improve ROM.,improve decision-making.,prevent skin damage.,,,,D,Moisture is primary risk factor for IAD and pressure injuryâ€”brief changes protect skin.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,The main reason for keeping the drainage bag below bladder level is to:,allow aide to see urine amount.,prevent leakage on linens.,keep urine from flowing back into bladder.,make emptying easier.,,,,C,Gravity prevents reflux and reduces risk of CAUTI.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,The aide can promote client rights by:,telling client dinner is ready.,taking client to scheduled therapy.,choosing client's clothing.,asking client which activity s/he would like to attend.,,,,D,Offering choice respects autonomy and right to participate in care decisions.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,An example of courtesy is:,wearing facility uniform.,taking credit for another's work.,helping others willingly when asked.,completing another aide's documentation.,,,,C,Voluntary helpfulness demonstrates professional courtesy and teamwork.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When communicating with another aide about a change in condition, you should:",give facts and be specific.,give opinion about cause.,use only medical terms.,repeat what last aide observed.,,,,A,"Factual, concise report ensures continuity of care and reduces error.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When weighing a client with a bed scale, the aide should FIRST:",adjust bed to safe level.,explain procedure.,balance the scale.,attach sling to scale.,,,,C,Zeroing/balancing the scale prevents inaccurate readingsâ€”safety & explanation come next.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When dressing a client, the aide SHOULD:",dress client in wheelchair.,give client a gown every day.,dress strong side first.,give client choice of what to wear.,,,,D,Respecting clothing choice supports dignity and autonomy.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"After using a disposable razor, dispose of the uncapped razor in:",client's wastebasket.,soiled linen cart.,puncture-proof container.,utility-room wastebasket.,,,,C,"OSHA requires sharps in biohazard, puncture-resistant container.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When making an occupied bed, the aide SHOULD:",keep side-rails unlocked & lowered.,avoid talking to client.,pull top sheet tightly over feet.,make sheets smooth & tight under client.,,,,A,"Lowered, unlocked rails allow easy reach and skin inspection while maintaining safety.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"To increase fluid intake, the aide should:",insist client drink.,tell family to give fluids.,offer variety of fluids frequently.,limit amount offered.,,,,C,"Frequent, appealing choices increase voluntary consumption without coercion.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A common sign of approaching death is:,high blood pressure.,decreased urinary output.,clenched jaw.,increased thirst.,,,,B,Oliguria reflects organ shutdown and is a late harbinger of death.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"During catheter care, wash the catheter tubing:",toward the client.,away from the client.,in a circular motion.,back-and-forth.,,,,B,Clean from meatus outward to move contamination away from urethral opening.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"A client says, â€œI am a morning person; evening shower is better.â€ Appropriate response is:",Tell client no changes can be made.,Discuss with charge nurse & team to adjust schedule.,Say you understand but do nothing.,Ask family to convince client.,,,,B,Accommodating preference is resident-centered care; involve nurse to revise plan.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"While en-route to give a bed-bath, you hear a bed-alarm. You SHOULD:",continue to assigned room.,go to alarm room.,call for help once in assigned room.,check alarm after bath.,,,,B,"Fall-risk alarm takes priorityâ€”prevent injury first, then resume assigned task.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When preparing a client for discharge, the aide is responsible to:",call family.,write discharge summary.,assist packing belongings.,notify PCP office.,,,,C,Packing personal items is within aide scope; summaries and notifications are nurse tasks.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Hypoglycemia symptoms to watch for include:,sweating or headache.,abdominal pain.,"sweet, fruity breath.",nausea and vomiting.,,,,A,"Adrenergic response to low glucose: diaphoresis, headache, tremor.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When communicating with a clientâ€™s family, the aide SHOULD:",relay full health status.,say everything will be better tomorrow.,be helpful and courteous.,explain meds & treatments.,,,,C,Courtesy and helpfulness build trust; clinical updates come from nurse.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A gait-belt is used to:,assist ambulation.,hold up pants.,support a binder.,support abdominal dressing.,,,,A,Primary purpose is safe transfer & walking assistance.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Client reports pain during feeding. You SHOULD:,offer ice chips.,lower head of bed & reposition.,skip next feeding.,inform charge nurse.,,,,D,"Report symptoms; nurse assesses for aspiration, GI issues, or medication needs.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When washing a clientâ€™s hair, the aide SHOULD:",clean hair during shower.,shampoo at sink.,finish quickly.,follow the care plan.,,,,D,"Care plan specifies method, frequency, and precautionsâ€”always the guide.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,The aide SHOULD wear gloves when:,combing hair.,ambulating client.,assisting with oral care.,transporting clean linen.,,,,C,Oral care involves saliva contactâ€”standard precaution.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"In case of fire, the FIRST thing the aide should do is:",remove clients in immediate danger.,close all doors.,notify fire dept.,notify nurse.,,,,A,"RACE protocol: Rescue persons in danger first, then Alarm, Confine, Extinguish.",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"To promote urination, the BEST method is:",toilet regularly with privacy.,limit daytime fluids.,increase salt intake.,talk while client voids.,,,,A,Privacy and routine reduce anxiety and stimulate normal voiding reflex.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"During restorative care, the aide SHOULD:",encourage independence & self-care.,promise no setbacks.,assist if it takes too long.,exclude family.,,,,A,Rehabilitation goal is maximum self-sufficiencyâ€”prompt only as needed.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,An Alzheimer client curses at you. BEST response is:,distract with activity.,ask how cursing would feel.,explain insults arenâ€™t fair.,tell client never to repeat.,,,,A,"Redirection avoids escalation and meets underlying need (boredom, frustration).",Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A non-verbal client may show pain by:,laughing.,smiling.,eating.,grimacing.,,,,D,Facial contortion is a universal pain indicator in cognitively impaired.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"Speaking to an aphasic client, the aide should:",ask yes/no questions.,limit interaction.,speak through family only.,speak slowly & loudly.,,,,A,Binary questions reduce language demand and allow nod/shake replies.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A wrist splint is applied to:,keep elbow straight.,hold a dressing.,maintain proper alignment.,alert staff to injury.,,,,C,Splints immobilize joints in functional position to prevent contracture.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Reddened area on hip when turningâ€”first action:,apply ice.,reposition client.,ignoreâ€”it will fade.,apply heat lamp.,,,,B,Immediate pressure relief (repositioning) is the first step in pressure-injury prevention.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When applying client makeup, ask for advice from:",client.,roommate.,nurse.,family member.,,,,A,Client preference governs personal groomingâ€”respect autonomy.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"If nurse asks for â€˜sputumâ€™ specimen, obtain:",sputum.,urine.,stool.,blood.,,,,A,Sputum = lower-respiratory mucus; other specimens would invalidate test.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"After making an error in care, the aide should:",apologize to client.,keep it confidential.,inform the nurse.,notify family.,,,,C,Nurse must assess for actual or potential harm and initiate follow-up.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"To prevent spread of C. difficile, the aide SHOULD:",wash hands with soap & water.,use alcohol hand-rub.,avoid contact.,encourage fluids.,,,,A,Soap-and-water friction removes spores; alcohol does not kill C. diff.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Client intake includes:,urine.,vomitus.,water.,perspiration.,,,,C,Intake = all fluids consumed; water is the only listed intake.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,An Alzheimer client calls for a dead relative. BEST response is:,explain relative is dead.,encourage feelings about relative.,pretend to be relative.,leave client alone.,,,,B,Validation therapy allows emotional release without confrontation.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"When cleaning perineal area of incontinent client, the aide SHOULD:",allow area to air-dry.,remove blanket.,wear gloves.,use water only.,,,,C,Gloves protect against body-fluid exposureâ€”standard precaution.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,A client likely to experience hypo- or hyper-glycemia has:,diabetes.,hypertension.,MS.,Parkinsonâ€™s.,,,,A,Glucose fluctuations are characteristic of diabetes mellitus.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Confused client forgets side-rails and falls. Aide may be charged with:,negligence.,assault.,battery.,defamation.,,,,A,Failure to follow safety measures constitutes neglect.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,"While tidying room, the aide SHOULD:",throw out newspapers & mail.,put devices in closet.,place bed highest.,check equipment is working.,,,,D,Functional equipment is a safety and care necessityâ€”report issues promptly.,Regular,,,
Nurse Aide,Nurse Aide Certification Practice Test,,Disease from microbial invasion is called:,infection.,reservoir.,source.,susceptible host.,,,,A,Infection = pathogen multiplication in host tissue.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"With an air/water mattress, the aide SHOULD:",add air/water daily.,use safety pins for sheets.,use layers of pads.,keep sharp objects away.,,,,D,"Punctures destroy mattress integrityâ€”no pins, scissors, or needles.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Client refuses unfamiliar foods. The aide SHOULD:,notify social worker.,talk to family.,ask about preferences.,encourage eating later.,,,,C,Preference assessment allows meal substitution and prevents malnutrition.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Common side effect in cancer treatment is:,constant hunger.,discomfort & pain.,increased energy.,regular bowels.,,,,B,"Pain, fatigue, mucositis are frequent cancer-therapy sequelae.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"When caring for an Alzheimer client, the aide SHOULD:",vary routine often.,play soft music.,explain mistakes.,give step-by-step directions.,,,,D,"Simple, consistent cues reduce cognitive load and anxiety.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"If a client becomes physically aggressive, the aide SHOULD:",protect self & others and report.,walk away.,argue and report.,warn of trouble.,,,,A,Personal safety first; de-escalate and alert nurse for further intervention.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"With oxygen therapy, which safety measure is correct?",Use wool blanket.,Post â€˜No Smokingâ€™ sign.,Keep matches handy.,Allow visitor smoking.,,,,B,Oxygen supports combustionâ€”no-open-flame policy is mandatory.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Client refuses BP check. The aide SHOULD:,take it anyway.,tell nurse immediately despite right to refuse.,promise a snack.,say it must be done.,,,,B,Report refusal at once; nurse assesses reason and clinical impact while respecting autonomy.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Which symptom must be reported IMMEDIATELY?,Dry wrinkled skin.,Thinning scalp hair.,Bluish lips.,Respirations 16/min.,,,,C,Cyanotic lips indicate hypoxemiaâ€”a medical emergency.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"Before starting a back-rub, the MOST important observation is:",relaxing environment.,positioning limits.,client bathed?.,signs of skin damage.,,,,D,"Open areas, bruises, or rashes contraindicate massage and require nursing evaluation.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Sign of loss of independence to report is:,positive self-image.,helplessness.,expressing happiness.,self-care participation.,,,,B,Helplessness signals depression or decreased functionâ€”nurse can initiate support.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"While ambulating, client trips and begins to fall. The aide SHOULD:",pull client upright.,push client up.,get behind to block knees.,ease client to floor.,,,,D,Controlled descent minimizes injury to both client and aide.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Team member who provides MOST physical care is:,DON.,supervising nurse.,social worker.,nurse aide.,,,,D,"Nurse aides deliver 80-90 % of direct hygiene, mobility, and feeding care.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Another name for pressure sore is:,decubitus ulcer.,incontinence.,frequency.,abrasion.,,,,A,Decubitus ulcer is the historical term; now called pressure injury.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"When lifting from floor, the aide SHOULD:",bend from waist.,bend knees.,keep feet together.,keep knees straight.,,,,B,"Squat-lift (bend knees) uses leg muscles, protects back.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"To help constipation, the aide should encourage:",bed rest.,increased fluids.,low-fiber diet.,enema.,,,,B,Hydration plus fiber softens stool; enemas require nurse order.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,A dying client with no visitors should be:,left alone.,given extra time.,told everything will be fine.,ask family why absent.,,,,B,Presence and companionship relieve terminal loneliness.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,"When dressing a client, FIRST:",select appropriate clothing.,choose snug clothes.,do all work for client.,check for weak/affected side.,,,,D,Assess motor limitations to sequence dressing (dress affected side first) and promote safety.,Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,Edema in ankles and feet should prompt the aide to:,report to nurse.,reduce fluids.,increase salt.,apply anti-embolism stockings.,,,,A,"Edema may signal cardiac, renal, or venous issuesâ€”nurse determines intervention.",Regular,,,
Nurse Aide,Certified Nurse Aide Practice Test,,The nurse aide is feeding a client while the client's head is tilted back. The client is at risk for:,edema,dyspnea,dysphasia,aspiration,,,,D,"Tilting the head back during feeding compromises the airway's natural protective mechanisms, increasing the likelihood that food or liquid will enter the trachea instead of the esophagus, leading to aspiration, which may cause choking or aspiration pneumonia. Edema refers to fluid retention and swelling, unrelated to head position during feeding. Dyspnea is difficulty breathing, which may result from aspiration but is not directly caused by head tilt. Dysphasia refers to difficulty speaking, not swallowing; the correct term for swallowing difficulty is dysphagia, but head tilt exacerbates aspiration risk rather than causing dysphagia.",Regular,,,
