school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,,image,url,wrong_answer
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"When patients are receiving anticoagulants, health care professionals should be particularly observant for signs of:",anuria,hemorrhage,musculoskeletal pain,polyuria,,,,B,"Anticoagulants, also known as blood thinners, prevent blood clots by slowing the clotting process, with a significant risk of excessive bleeding or hemorrhage, which can be internal or external. Healthcare professionals must monitor for signs like unusual bruising, blood in urine or stool, or bleeding gums. Anuria (lack of urine output), polyuria (excessive urination), and musculoskeletal pain are not primary side effects associated with anticoagulants.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"According to the Institute for Safe Medication Practices (ISMP), which of the following is considered a high-alert medication?",Trazodone,Tamsulosin,Tenecteplase,Topiramate,,,,C,"Tenecteplase, a thrombolytic agent used to dissolve blood clots, is classified as a high-alert medication by the ISMP due to its potential to cause severe bleeding if used incorrectly. Trazodone, Tamsulosin, and Topiramate are not listed as high-alert medications by the ISMP.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following needle gauges corresponds to the smallest lumen?,13,18,20,27,,,,D,"The size of a needle's lumen is inversely related to its gauge number, meaning a higher gauge number indicates a smaller lumen diameter. Among the options, 27 is the highest gauge number, corresponding to the smallest lumen, making a 27-gauge needle finer than a 13-gauge needle.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"According to the Institute for Safe Medication Practices (ISMP), which of the following is an approved abbreviation?",U for units,AD for right eye,AU for both eyes,gtt for drop,,,,D,"The abbreviation 'gtt' for ""drop"" is a standard, accepted abbreviation in medical and pharmacy settings and is not on the ISMP's list of error-prone abbreviations. In contrast, 'U' for units, and Latin abbreviations like 'AD' and 'AU' for ears or eyes, are on the ISMP's 'Do Not Use' list due to frequent misinterpretation, which can lead to significant medication errors.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,"Preparing, mixing, packaging, and labeling a small quantity of medication based on a prescription for a specific patient is called extemporaneous:",alligation,compounding,manufacturing,levigation,,,,B,"Extemporaneous compounding involves a pharmacist preparing a customized medication for a specific patient based on a prescription, typically when a commercial drug is unavailable in the required dosage, form, or strength.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following patient monitoring functions detects a patient on two medications in the same therapeutic classification?,Drug-allergy interaction,Medication reconciliation,Drug-lab test interaction,Drug-drug interaction,,,,B,"Medication reconciliation compares a patient's current medication list with new orders to identify discrepancies, including therapeutic duplications where a patient is prescribed two medications in the same therapeutic class.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following vaccines must remain frozen during transportation from the wholesaler?,Varicella,Pneumococcal,Influenza,Meningococcal,,,,A,"The Varicella (chickenpox) vaccine, a live vaccine, must be stored and transported frozen to maintain potency due to the live virus's sensitivity to temperature changes. Pneumococcal, Influenza, and Meningococcal vaccines are typically stored refrigerated at 2Â°C to 8Â°C (36Â°F to 46Â°F).",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Insulins are considered to be high-alert medications because they can cause dangerous:,hypoglycemia,hypothyroidism,hyperlipidemia,hypernatremia,,,,A,"Insulins are high-alert medications per the ISMP due to their potential to cause significant harm if misused, with the most dangerous side effect being hypoglycemia (low blood glucose), which can lead to seizures, coma, or death. Hypothyroidism, hyperlipidemia, and hypernatremia are not direct or common insulin side effects.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Which of the following medications is considered to be high-alert in a community pharmacy setting?,Meloxicam,Mercaptopurine,Metronidazole,Methocarbamol,,,,B,"Mercaptopurine, an oral chemotherapeutic agent, is listed as a high-alert medication in community pharmacies due to its high risk of causing significant harm if used incorrectly. Meloxicam (an NSAID), Metronidazole (an antibiotic), and Methocarbamol (a muscle relaxant) are not typically high-alert medications.",regular,,,,
"Pharmacy Technician
",Pharmacy Technician Certification Exam Practice Questions,,Prasugrel tablets should be stored in the:,amber vial provided by the pharmacy,"refrigerator, at 2Â°C to 8Â°C (36Â°F to 46Â°F)","freezer, at -20Â°C to -10Â°C (-4Â°F to 14Â°F)",original packaging until ready to use,,,,D,"Prasugrel tablets are moisture-sensitive and must remain in their original container with the desiccant to maintain potency. Transferring to an amber vial or other container risks exposure to humidity and light, which can degrade the medication. Refrigeration or freezing is not required and may harm the drug.",regular,,,,
