school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_asnwer
Pharmacy Technician,ExCPT exam practice test,,Which of the following information does a pharmacy technician need to provide to the pharmacist for the final prescription check?,"Original prescription, patient name, and the filled prescription bottle","Original prescription, stock bottle used in filling, and the labeled and filled prescription bottle","Prescription label, original prescription, and the stock bottle used in filling","Prescription label, filled prescription bottle, patient date of birth, and the stock bottle used in filling",,,,B,"The pharmacist's final verification requires the original prescription, the stock bottle(s) used to fill it (to confirm correct drug and strength), and the labeled, filled prescription container. This allows the pharmacist to independently verify that the correct medication and quantity were dispensed according to the prescriber's order. Patient identifiers are already on the label, so additional verbal information is not required at this step.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,The Combat Methamphetamine Epidemic Act of 2005 (CMEA) regulates the over-the-counter sale of which of the following medications?,Phenylephrine (Neo-Synephrine),Epinephrine (EpiPen),Dextromethorphan (Robitussin),Pseudoephedrine (Sudafed),,,,D,"The CMEA placed pseudoephedrine and ephedrine products behind the pharmacy counter, requiring ID, signature, and purchase limits because these drugs are precursors used in illicit methamphetamine production. Phenylephrine replaced pseudoephedrine in many OTC formulations and is not restricted under CMEA.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,The retail prescription hardcopy for a controlled medication should be filed according to which of the following?,Schedule,DEA number,Medication name,Patient name,,,,A,"Federal law requires that hard copies of Schedule II prescriptions be filed separately, while Schedules III-V may be filed together with a separate file or readily retrievable system (often using a red 'C' stamp). Filing by schedule is the most common and compliant method in retail pharmacies.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,"According to OBRA '90, a pharmacist is required to offer consultation to which of the following patients?",A patient who is covered by Medicare and is in a hospital setting.,A patient who is covered by Medicaid and is purchasing over-the-counter medications.,A patient who is covered by Medicare and is purchasing prescription medications.,A patient who is covered by Medicaid and is in a long-term care facility.,,,,C,"OBRA '90 mandates that pharmacists offer counseling to all Medicaid patients receiving new prescriptions in the outpatient setting. Because Medicare Part B and D also follow similar counseling requirements, the offer to counsel is effectively required for all new or changed prescriptions regardless of payer, but the law specifically applies to Medicaid recipients.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following laws established legend and non-legend categories of medication?,Drug Listing Act of 1972,Durham-Humphrey Amendment of 1951,"Food, Drug, and Cosmetic Act of 1938",Kefauver-Harris Amendment of 1962,,,,B,The Durham-Humphrey Amendment of 1951 created the distinction between legend (prescription-only) drugs that bear the statement 'Caution: Federal law prohibits dispensing without a prescription' and non-legend (OTC) drugs. This amendment established the legal framework for requiring prescriptions for certain medications.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following describes the role of the pharmacy technician in maintaining a floor stock medication distribution system in a hospital setting?,Monitor and replace floor stock supplies.,Monitor for expired medications every 6 months.,Remove recalled medication from floor stock every month.,Report stock discrepancies to the unit coordinator.,,,,A,"In a floor stock system, pharmacy technicians are responsible for restocking nursing unit medication cabinets, checking for low stock, and replacing used or expired items. This helps ensure medications are available while maintaining appropriate inventory levels.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,"Based on the prescription below, a pharmacy technician should include which of the following instructions on the prescription label? i tab po qhs hbp",Take one tablet by mouth every evening for benign prostatic hyperplasia.,Take one tablet by mouth after mealtime for benign prostatic hyperplasia.,Take one tablet by mouth every day at bedtime for high blood pressure.,Take one tablet by mouth four times daily for high blood pressure.,,,,C,"The sig 'i tab po qhs' translates to 'one tablet by mouth at bedtime every night,' and 'hbp' is the common abbreviation for high blood pressure. 'qhs' means at bedtime, not every evening or after meals.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following is a reason an insurance carrier might reject a claim?,The patient's address is not current.,The patient's allergies are not on file.,The patient's name is misspelled.,The patient's telephone number is incorrect.,,,,C,"Third-party payers require exact matching of patient identifiers (name, date of birth, ID number) to the policyholder. A misspelled name often causes claim rejection because the system cannot match the patient to the insurance record.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should recommend that a patient dispose of a used medication syringe using which of the following methods?,Recap the syringe and place it in the garbage can.,Flush the syringe down the toilet.,Place the syringe in a plastic bag and return it to the pharmacy for disposal.,Discard the syringe in a puncture-proof container.,,,,D,"FDA and EPA guidelines recommend placing used sharps in an FDA-cleared puncture-resistant container (sharps container) to prevent needlestick injuries. Recapping and regular trash disposal are unsafe, and flushing is prohibited.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following is within scope of practice of a pharmacy technician?,Advising a patient on adverse effects,Compounding sterile medications,Making over-the-counter recommendations,Consulting the provider for drug-to-drug interactions,,,,B,"In most states, certified pharmacy technicians may compound sterile preparations under direct pharmacist supervision. Patient counseling, OTC recommendations, and clinical judgment tasks (adverse effects, interactions) are reserved for pharmacists only.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which feature of a prescription bottle requires compliance with the Poison Prevention Packaging Act?,Label,Cap,Color,Size,,,,B,The Poison Prevention Packaging Act (PPPA) of 1970 mandates child-resistant caps on most prescription and many OTC medications to prevent accidental poisoning in children. The cap design is the key compliance feature.,Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician is compounding a sterile preparation. Which of the following information should the technician include on the prescription label?,Manufacturer of the admixture solutions,Expiration date,Prescriber DEA number,NDC number,,,,B,"USP <797> requires that all compounded sterile preparations be labeled with the beyond-use date (expiration date), storage conditions, and other critical information. The expiration date is essential for patient safety.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,A pharmacy technician should identify that which of the following patients might benefit from using a medication compliance aid?,A patient who requests refills late.,A patient who requests financial assistance for their medication.,A patient who has Medicare Insurance.,A patient who has a gluten allergy.,,,,A,"Late refill requests indicate poor adherence to the prescribed regimen. Compliance aids such as pill organizers, blister packaging, or reminder systems help patients take medications on schedule.",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following requirements must be met by durable medical equipment in order to be processed through a patient's Medicare Part B coverage?,Must withstand repeated use,Must be obtained through a provider's office,Must be used in a health care facility,Must need to be used every other day,,,,A,"Medicare Part B defines durable medical equipment (DME) as items that can withstand repeated use, are primarily medical in nature, and are used in the home (e.g., walkers, wheelchairs, nebulizers).",Regular,,,
Pharmacy Technician,ExCPT exam practice test,,Which of the following government agencies requires access to Safety Data Sheets when handling chemotherapy medications?,Food and Drug Administration (FDA),Occupational Safety and Health Administration (OSHA),Environmental Protection Agency (EPA),Drug Enforcement Agency (DEA),,,,B,"OSHA's Hazard Communication Standard requires Safety Data Sheets (SDS) for all hazardous chemicals, including chemotherapeutic agents, to ensure worker safety during handling and exposure.",Regular,,,
