school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Hospice & Palliative Care,Hospice and Palliative Care Board Exam Questions,,A nurse receives a referral to evaluate a patient who has been receiving hospice services since 8 months ago. The patient will be entering which of the following benefit periods?,first,second,third,fourth,,,,C,"The Medicare Hospice Benefit consists of two initial 90-day periods (total 180 days) followed by unlimited 60-day periods. Eight months is roughly 240-245 days, which exceeds the 180-day mark by 60-65 days. Therefore, the patient has already completed the first two 90-day periods and is now entering the first 60-day period, which is the third benefit period overall. This structure allows continued eligibility as long as the terminal prognosis remains six months or less.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Certification Exam,,"A patient has prostate cancer with bone metastasis and a history of seizures controlled with phenytoin. The oncologist orders dexamethasone for increased bone pain. Three weeks later, the patient has a seizure. The MOST likely cause of the seizure is",adverse reaction to dexamethasone,inhibition of phenytoin metabolism,dexamethasone metabolites,metastasis to the brain,,,,B,"Dexamethasone is a potent inducer of the CYP3A4 enzyme system, which significantly accelerates the hepatic metabolism of phenytoin. Over the three-week period, this induction lowers phenytoin blood levels, resulting in subtherapeutic concentrations and breakthrough seizures despite previously stable control. This drug-drug interaction is far more likely than new brain metastasis or direct steroid toxicity in this timeframe.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Exam Questions,,"The epidural infusion rate of morphine and bupivacaine has recently been increased, and the patient now complains of decreased sensation in the lower extremities. Which of the following is the MOST likely cause of the decreased sensation?",morphine-bupivacaine interaction,epidural infection,too much bupivacaine,too much morphine,,,,C,"Bupivacaine is the local anesthetic component of epidural infusions and is solely responsible for sensory and motor blockade. Increasing the infusion rate delivers more bupivacaine to spinal nerve roots, producing the observed sensory loss in the lower extremities, whereas morphine at typical doses provides analgesia without significant sensory blockade.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Board Exam Questions,,"While receiving palliative care, a patient's colostomy was revised secondary to obstruction. Now on hospice, the current colostomy is no longer viable, and an actively draining fistula has developed. The patient is comfortable. The family requests diagnostic tests to determine the tumor's size and location. Which of the following should be the nurse's FIRST response?",Explore the family's plans related to requested diagnostics,Call the attending physician to report the new fistula,Assure the family the patient will remain comfortable,Recommend the patient return to palliative care,,,,A,"In hospice, diagnostic testing is avoided unless it directly improves comfort. The nurse's first priority is to compassionately explore why the family wants imaging (curiosity, guilt, denial, or hope for reversal) so that underlying emotional or informational needs can be addressed rather than proceeding with non-beneficial tests that conflict with hospice goals.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Certification Exam,,"The family of a patient with end-stage dementia has become dissatisfied with the care provided by the current hospice. After a care conference, the family decides to change to another hospice in the area. The current hospice should",ask the family to revoke the Medicare Hospice Benefit,arrange transfer of services,discharge the patient for cause,revoke the Medicare Hospice Benefit,,,,B,Medicare regulations permit one hospice-to-hospice transfer per benefit period without requiring revocation of the overall hospice benefit. The current hospice must coordinate a smooth transfer and forward all records to the new agency.,Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Exam Questions,,"A newly admitted hospice patient with metastatic lung cancer has expressive aphasia from a previous CVA. Vital signs are: BP 160/96 mm Hg, HR 92/min, and RR 22/min. They are moaning, refusing to be turned, and fidgeting with their bedsheets. The patient is clutching their throat, and there are white patches on the pharynx. Which of the following medications should the nurse administer FIRST?",hydromorphone,lisinopril,diflucan,lorazepam,,,,C,"White patches on the pharynx in an immunocompromised lung cancer patient are virtually pathognomonic for oral thrush (candidiasis), which is intensely painful and explains the clutching at the throat, moaning, and refusal of touch. Treating the underlying infection with fluconazole is the priority before addressing pain or anxiety.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Board Exam Questions,,"A patient with advancing Alzheimer's dementia who has lost 40 lb in the last 6 months has been living alone and wants to remain independent. The palliative care nurse notices the patient is no longer able to cook and forgets to take medications. The patient was started on donepezil 2 months ago, but the family does not feel it is helping. Which of the following is the BEST option for the patient that the nurse should discuss with the family?",Move the patient to a long-term care facility so that the Medicare benefit will pay for care,Increase the patient's dose of donepezil,Arrange for Meals on Wheels and have the family take over the patient's medication administration,Encourage the family to move the patient in with them to manage care needs,,,,C,"Significant weight loss and medication non-adherence are immediate threats to safety and health. Meals on Wheels plus family medication oversight are practical, least-restrictive interventions that honor the patient's desire to remain at home while addressing the most urgent risks.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Certification Exam,,"During the course of chemotherapy, a patient reports inability to complete activities of daily living due to fatigue, weakness, and dyspnea on exertion. On room air, pulse oxygen is 96% at rest and 95% after activity. Which of the following is the nurse's BEST intervention?",Request labs to rule out anemia,Assess the patient for influenza,Teach about bleeding precautions,Order an oxygen concentrator,,,,A,Near-normal oxygen saturation with profound fatigue and exertional dyspnea in a chemotherapy patient is highly suggestive of anemia from bone-marrow suppression. Checking hemoglobin is the essential first step before symptomatic treatment.,Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Exam Questions,,Which of the following is one of the nurse's primary responsibilities in end-of-life care?,Assist caregivers with conflict resolution,Teach caregivers how to administer medications,Use a standardized approach with various cultures,Befriend patients and family members,,,,B,"One of the most critical hospice nursing responsibilities is teaching caregivers safe, effective medication administration (especially scheduled opioids and breakthrough doses) to ensure comfort and prevent errors at home.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Board Exam Questions,,Advanced hepatic disease is characterized by,neutropenia,pulmonary edema,esophageal reflux,encephalopathy,,,,D,Hepatic encephalopathy from ammonia accumulation due to impaired liver detoxification is a hallmark feature of end-stage liver disease.,Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Certification Exam,,"A palliative patient with multiple myeloma is now exhibiting symptoms of confusion, lethargy, anorexia, and constipation. Which of the following is the BEST nursing action?",Increase the dose of senna and docusate sodium,Request an order for a blood chemistry panel,Recommend a trial of dexamethasone,Obtain a pulse oximetry reading,,,,B,"Confusion, lethargy, and anorexia in multiple myeloma are classic signs of hypercalcemia, a life-threatening oncologic emergency. A chemistry panel to check calcium level is urgently needed.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Exam Questions,,Which of the following is the first-line treatment for bladder spasms with a negative urinalysis?,pyridoxine,diazepam,oxybutynin,baclofen,,,,C,Oxybutynin is an anticholinergic specifically indicated as first-line pharmacologic therapy for bladder spasms and overactive bladder once infection has been ruled out.,Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Board Exam Questions,,"An Alzheimer's patient is apathetic, refusing food, and resistant to care. The nurse should understand that these symptoms",are often related to caregiver abuse,indicate a need for a feeding tube,are common indicators of disease progression,preclude active bouts of delirium,,,,C,"Apathy, anorexia, and resistance to care are typical behavioral and psychological symptoms of moderate-to-severe dementia and represent disease progression rather than abuse or absolute need for artificial nutrition.",Regular,,,
Hospice & Palliative Care,Hospice and Palliative Care Certification Exam,,An older adult hospice patient describes going on a trip to meet their mother. The patient is MOST likely experiencing,terminal delirium,acute psychosis,nearing death awareness,pre-terminal restlessness,,,,C,"Symbolic language about travel and meeting deceased loved ones is classic nearing-death awareness, a common and usually peaceful phenomenon in the final weeks of life.",Regular,,,
