school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Certified Nursing Assistant,CNA Practice Exam​,,The nurse aide is feeding a client while the client's head is tilted back. The client is at risk for:,edema.,dyspnea.,dysphagia.,aspiration.,,,,D,"Tilting the head back during feeding allows gravity to pull food or liquids toward the airway rather than the esophagus, increasing the risk of aspiration, which is the entry of material into the lungs and can lead to serious complications like aspiration pneumonia. Proper feeding technique involves keeping the head in a neutral or slightly forward position to ensure safe swallowing. Edema is swelling, dyspnea is difficulty breathing, and dysphagia is difficulty swallowing, none of which are directly caused by head position in this context.",Regular,,,
Certified Nursing Assistant,CNA Exam Practice Test,,The role of the nurse aide in restorative care is to:,combine short steps into a long list to keep a client motivated.,recognize that setbacks occur and encourage a client to keep trying.,let a client know when progress is not happening as quickly as planned.,complete a task for a client if the client is taking too long to complete it.,,,,B,"Restorative care focuses on helping clients regain or maintain their highest level of functioning. Recognizing setbacks and providing encouragement promotes motivation and independence, aligning with the goals of restorative nursing. Combining steps (A) may overwhelm the client, informing about slow progress (C) can discourage, and completing tasks (D) undermines independence, which is contrary to restorative principles.",Regular,,,
Certified Nursing Assistant,CNA Final Exam 100 Questions and Answers​,,A low-fat diet is ordered for a client. Which of the following foods is restricted?,Fish,Butter,Bread,Sugar,,,,B,"A low-fat diet restricts high-fat foods like butter, which is primarily fat and can elevate cholesterol levels. Fish, bread, and sugar are generally allowed in moderation on low-fat diets, as they are lower in fat content.",Regular,,,
Certified Nursing Assistant,CNA State Exam​,,A client refuses to take a bath. What is the nurse aide's BEST response?,"""You don't have to take your bath now. When would you like to take it?""","""A bath is good for you, and I know best.""","""You have to take your bath, and there is no way out of it.""","""Everybody else takes a bath. Why shouldn't you?""",,,,A,"Respecting client autonomy and promoting dignity involves offering choices and flexibility. This response acknowledges the refusal without pressure and schedules the bath at a preferred time. Options B, C, and D are coercive or judgmental, violating client rights and potentially increasing resistance.",Regular,,,
Certified Nursing Assistant,CNA Practice Exam​,,The unlawful restriction of a client's freedom of movement is called:,defamation.,false imprisonment.,negligence.,invasion of privacy.,,,,B,"False imprisonment is the intentional and unlawful confinement of a person without consent or legal justification, such as restraining a client without cause. Defamation is false statements harming reputation, negligence is failure to provide reasonable care, and invasion of privacy is unauthorized disclosure of private information.",Regular,,,
Certified Nursing Assistant,CNA Exam Practice Test,,"To promote client's rest, the nurse aide SHOULD:",keep the lights on.,ask the client questions.,decrease the noise level.,position the client upright.,,,,C,"A quiet environment is essential for rest and sleep. Decreasing noise reduces disturbances. Keeping lights on (A) can disrupt circadian rhythms, asking questions (B) may stimulate alertness, and upright positioning (D) is not always conducive to rest.",Regular,,,
Certified Nursing Assistant,CNA Final Exam 100 Questions and Answers​,,Two nurse aides enter the room of a dying client to provide care. The nurse aides SHOULD:,whisper so that they do not disturb the client.,discuss the client's condition.,remain silent out of respect for the client.,explain to the client what the nurse aides are going to do.,,,,D,"Even in end-of-life care, maintaining communication and orientation helps preserve dignity and reduces anxiety. Explaining actions shows respect and allows the client to feel involved. Whispering (A) may exclude the client, discussing condition (B) breaches confidentiality, and silence (C) can seem uncaring.",Regular,,,
Certified Nursing Assistant,CNA State Exam​,,Incontinence may be defined as:,loss of bladder control.,redness of the skin.,shortness of breath.,painful leg cramps.,,,,A,"Incontinence specifically refers to the involuntary loss of bladder or bowel control. The other options describe unrelated conditions: redness (B) is erythema, shortness of breath (C) is dyspnea, and cramps (D) are muscular issues.",Regular,,,
Certified Nursing Assistant,CNA Practice Exam​,,Client rights are based on:,nursing home policies.,doctor's orders.,constitutional law.,Medicaid regulations.,,,,C,"Client rights in healthcare facilities stem from constitutional protections like the right to privacy and due process, as outlined in the U.S. Constitution and interpreted through laws like the Nursing Home Reform Act. Policies (A), orders (B), and regulations (D) support but do not form the basis.",Regular,,,
Certified Nursing Assistant,CNA Exam Practice Test,,"After anti-embolism stockings are applied, the stockings SHOULD:",be left on for 24 hours.,fit loosely for comfort.,be free of creases.,fit snugly over the arm.,,,,C,"Creases in anti-embolism stockings can create pressure points leading to skin breakdown or reduced effectiveness in preventing clots. They should fit smoothly without wrinkles. Leaving on 24/7 (A) is incorrect as they need removal for hygiene, loose fit (B) reduces compression, and arm fit (D) is for different stockings.",Regular,,,
