school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,"Which of the following interventions is MOST likely indicated for a patient presenting with a palpable right upper quadrant sausage-shaped mass, tachycardia, fever, and passing currant jelly stool?",Nasogastric tube insertion,Oral rehydration,Antibiotic administration,Barium enema,,,,D,"The presentation is classic for intussusception in a child (though not age-specified). The sausage-shaped mass, currant jelly stool (blood and mucus), and systemic signs indicate bowel ischemia. A barium or air enema is both diagnostic and often therapeutic, as it can reduce the intussusception. Surgery is indicated if enema fails or peritonitis is present.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,Which of the following should be administered for an overdose of a beta-blocker?,Calcium gluconate,Glucagon (GlucaGen),Magnesium,Naltrexone (ReVia),,,,B,"Glucagon is a first-line antidote for beta-blocker overdose. It works by bypassing the blocked beta-adrenergic receptors and directly stimulating cardiac cyclic AMP, increasing heart rate and contractility. Calcium may be used for calcium channel blocker overdose, not primarily for beta-blockers.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,A patient presents complaining of fatigue and headache. The nurse observes a bright red ringed lesion on the lower left calf and drooping of the right side upper and lower facial fold. The nurse should recognize that the MOST likely cause of these findings is,Lyme disease,Toxic shock syndrome,Rabies,Ischemic stroke,,,,A,"The bright red ringed lesion is characteristic of erythema migrans, the classic rash of Lyme disease. The unilateral facial droop (which can involve both upper and lower face in Lyme disease, unlike the upper motor neuron pattern of a stroke) is Bell's palsy, a common neurological manifestation of Lyme disease.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,An assault victim is hypotensive with palpable left rib tenderness and has not responded to IV fluids. A nurse should prepare for IMMEDIATE,Abdominal CT scan,Diagnostic peritoneal lavage,Abdominal flat and upright radiographs,FAST exam,,,,D,"The Focused Assessment with Sonography for Trauma (FAST) exam is a rapid, bedside ultrasound used to detect free fluid (blood) in the pericardial, peritoneal, or pleural spaces. In an unstable trauma patient with potential intra-abdominal injury (left rib fractures can injure the spleen), the FAST exam is the quickest way to identify life-threatening hemorrhage requiring immediate surgery.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,A patient with a history of diverticulitis is being discharged from the emergency department after being evaluated for abdominal pain. Which statement would indicate that discharge teaching has been effective?,"""I should avoid ibuprofen because it will increase my chances of bleeding.""","""I will eventually need a colostomy after surgery.""","""I need to eliminate gluten from my diet.""","""I need to increase the amount of fiber in my diet.""",,,,D,"Long-term management of diverticular disease focuses on preventing future attacks. A high-fiber diet softens stool, decreases intracolonic pressure, and may prevent the formation or inflammation of diverticula. While NSAIDs like ibuprofen are often avoided during acute episodes, the core preventative measure is dietary fiber increase.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,A patient who smells strongly of alcohol and has slurred speech is physically assisted to the emergency department by a police officer. Which of the following statements is an appropriate objective observation to appear in the patient's medical record?,The patient is an alcoholic.,The patient staggers when walking.,The patient is intoxicated.,The patient appears intoxicated.,,,,B,"Charting must be objective, factual, and based on observable behaviors. ""Staggers when walking"" is an objective description of ataxia. Terms like ""alcoholic,"" ""intoxicated,"" or ""appears intoxicated"" are subjective conclusions or interpretations.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,Which of the following is the MOST commonly used objective measure of patient response to treatment of an acute asthma attack?,Increased peak expiratory flow rate,Decreased PaCO₂ on blood gas measurement,Decreased wheezing on auscultation,Increased oxygen saturation on pulse oximetry,,,,A,"Peak expiratory flow rate (PEFR) is a simple, quick, and objective bedside measure of airflow obstruction. It is used to assess severity initially and to monitor response to bronchodilator therapy. While other measures are important, PEFR is the most specific and commonly used objective gauge of improvement in asthma exacerbations.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,A patient who has a ruptured Achilles tendon MOST likely would experience,Sudden severe pain,Dorsal paresthesia,An absent posterior tibial pulse,Cramping in the calf,,,,A,"A ruptured Achilles tendon classically presents with a sudden, sharp, or popping sensation in the back of the ankle/calf, often described as feeling like being kicked, followed by severe pain, swelling, and inability to plantarflex the foot. Neurovascular compromise is rare.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Practice Questions​,,"A patient with pericarditis is given oxygen, ibuprofen, and IV antibiotics. Which of the following BEST indicates that the patient is responding to this treatment?",The troponin I value is normal,The patient tolerates a supine position,The pulse pressure narrows,The oxygen saturation on room air is 96%,,,,B,"A hallmark of pericarditis is positional pain that is worse when lying supine and relieved by sitting up and leaning forward. Therefore, the patient's ability to tolerate a supine position without pain is a strong indicator that the inflammatory process is subsiding with treatment.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Questions,,Which of the following signs and symptoms would be considered MOST serious on a day when the air temperature is 104°F (40°C)?,"Thirst, lack of muscle coordination, and warm, dry skin","Abdominal cramps and cool, pale, moist skin","Seizures, reduced urinary output, and hot, dry skin","Weakness, vomiting, and cool, diaphoretic skin",,,,C,"This describes classic heat stroke, a life-threatening emergency. Seizures indicate central nervous system dysfunction. Hot, dry skin (though not always present) suggests thermoregulatory failure. Reduced urinary output signals impending organ failure from rhabdomyolysis and dehydration. This requires immediate cooling and advanced care.",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Practice Exam,,"A patient comes to the emergency department 8 hours after undergoing treatment of a Colles' fracture of the left forearm. The patient states that the fourth and fifth fingers of that hand are ""blue."" Further assessment reveals no edema, pain, or decreased sensation. The patient can move all fingers without difficulty. This suggests",Ecchymosis,Fractured fingers,Compartment syndrome,Lacerated tendons,,,,A,"Isolated blue discoloration of the 4th/5th fingers (ulnar distribution) without pain, sensory deficit, or motor loss is most consistent with benign ecchymosis (bruising) tracking distally from the fracture site. Compartment syndrome presents with severe pain out of proportion, paresthesia, pallor, and paralysis (the 5 P's).",Regular,,,
Certified Emergency Nurse,Certified Emergency Nurse Exam Sample Questions​,,"A urinary catheter is inserted in a patient who has third-degree burns over 60% of the body. The initial output is slightly cloudy, but then becomes progressively deeper red to almost black. The patient may have renal damage secondary to",Glomerular nephritis,Bilirubinuria,Occlusion of the renal artery,Myoglobinuria,,,,D,"Massive deep burns cause muscle damage (rhabdomyolysis), releasing myoglobin into the bloodstream. Myoglobin is nephrotoxic and can cause acute renal failure. It gives urine a characteristic dark red to cola-colored appearance. This is a common and serious complication of major burns.",Regular,,,
