school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,,image,url,wrong_answer
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Which of the following is NOT one of the five key elements of social determinants of health?,Economic stability,Education,Social and community context,Transportation,,,,D,"The five key SDOH domains are Economic Stability, Education Access/Quality, Health Care Access/Quality, Neighborhood/Built Environment, and Social/Community Context. Transportation is a component but not a separate domain.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,The nurse practitioner is evaluating the patient's understanding of the treatment plan for Chlamydia trachomatis. Which statement demonstrates proper understanding of the plan?,I should abstain from sexual intercourse for 24 hours after starting the medication.',I can have sexual intercourse 72 hours after completing the medication.',My partner should use a condom if we have sexual intercourse within the next 5 days.',I should abstain from sexual intercourse for 7 days.',,,,D,"CDC recommends abstinence for 7 days after single-dose treatment (azithromycin) or until completion of 7-day doxycycline regimen, plus until partners are treated and symptoms resolve.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Showing signs of autism spectrum disorder. The symptom that would be most concerning is that the patient:,uses her index finger instead of verbal communication to indicate items of interest.,screams and cries when the mother drops her off at daycare.,clings to the parents and does not want to be alone.,has continuous uncontrollable bouts of screaming when a vacuum cleaner is turned on.,,,,A,Pointing with index finger is typical development. Lack of verbal communication or unusual response to sensory input (vacuum) is more concerning for ASD.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 19-year-old female presents with right-sided abdominal pain. The diagnosis that would NOT be included as part of the differential is:,cholecystitis.,appendicitis.,pelvic inflammatory disease.,diverticulosis.,,,,D,"Diverticulosis is rare in 19-year-olds, typically seen in older adults. Cholecystitis, appendicitis, and PID are all possible in this age group.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A 33-year-old patient returns to the clinic with complaints of new genital herpes lesions, despite being on acyclovir (Zovirax) for the past 5 days. The nurse practitioner should:",discontinue acyclovir and order valacyclovir (Valtrex).,extend the course of acyclovir (Zovirax) by 5-7 days.,consider a culture to determine the HSV type.,combine oral acyclovir (Zovirax) with topical acyclovir cream.,,,,C,New lesions after 5 days of treatment may indicate antiviral resistance or different HSV type. Culture helps guide therapy. Extending course or changing medication without diagnosis is premature.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A 36-year-old patient has a midsystolic click and a murmur heard at the apex occurring in late systole. If symptomatic, the patient may also experience:",lower extremity edema.,angina pectoris.,palpitations.,hypertension.,,,,C,"Midsystolic click and late systolic murmur at apex = mitral valve prolapse. Symptomatic MVP can cause palpitations, chest pain, dyspnea, fatigue, not primarily angina or edema.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A 13-year-old patient is suspected of having acute otitis media. When performing a physical examination, a positive tug test will elicit pain when:",pressure is applied to the mastoid bone.,the tragus is pulled.,the auricle is gently pulled downward.,the area behind the ear is gently pressed.,,,,C,"Positive tug test (pain with auricle traction) indicates otitis externa, not AOM. AOM pain is typically not reproduced by auricle movement.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"When counseling a female who is breastfeeding her 6-month-old infant, the nurse practitioner should recommend a caloric intake that is how many kilocalories higher than prepregnancy requirements?",200 kcal/day,500 kcal/day,750 kcal/day,"1,000 kcal/day",,,,B,Breastfeeding requires approximately 500 extra kcal/day to support milk production while maintaining maternal health and energy.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A 48-year-old recently widowed patient experiences a first episode of depression. The patient is started on an antidepressant. After complete remission of symptoms, the medication should be continued for at least:",2 months.,4 months.,6 months.,12 months.,,,,C,"After first episode of depression, continue antidepressants for 6-12 months after remission to prevent relapse. Minimum is typically 6 months.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 20-year-old student presents with an oval salmon-colored macule on the chest that has progressed to a generalized exanthem from the top down over several weeks. The nurse practitioner knows that treatment for this condition may include:,treatment of pruritic areas until the lesions spontaneously resolve.,an oral antihistamine and topical antifungal cream.,an oral antifungal agent.,a tapering dose of oral corticosteroids.,,,,A,This describes pityriasis rosea (herald patch + Christmas tree distribution). Self-limiting in 6-8 weeks; treat pruritus only. Antifungals and corticosteroids are not indicated.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 19-year-old female patient with a BMI of 40 is diagnosed with migraine headaches. The nurse practitioner knows that migraine headaches are NOT usually treated prophylactically with:,sumatriptan (Imitrex).,amitriptyline (Elavil).,verapamil (Verelan).,metoprolol (Lopressor).,,,,A,"Sumatriptan is acute/abortive treatment, not prophylactic. Amitriptyline, verapamil, beta-blockers (metoprolol) are used for migraine prophylaxis.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"When treating a patient with heart failure, the medication class that is considered first-line therapy for vasodilatory effects and improved ejection fraction, and is relatively inexpensive, is:",angiotensin-converting enzyme (ACE) inhibitors.,calcium channel blockers.,nitrates.,diuretics.,,,,A,"ACE inhibitors are first-line for HF with reduced EF due to vasodilation, afterload reduction, and mortality benefit. They are cost-effective. CCBs and nitrates are not first-line; diuretics manage symptoms only.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 25-year-old patient is suspected of having bacterial vaginosis. The diagnostic criterion that will confirm this diagnosis is:,a large number of white blood cells on vaginal wet prep.,the detection of clue cells.,the presence of hyphae on vaginal wet prep.,a ketone odor in vaginal secretions when KOH is added.,,,,B,"Clue cells (vaginal epithelial cells with stippled borders) are diagnostic for BV. Amsel criteria require 3 of 4: clue cells, thin discharge, pH>4.5, positive whiff test (amine odor).",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A nurse practitioner finds hematuria and an elevated prostate-specific antigen level. Prostate cancer is suspected if, on digital rectal exam, the prostate is:","enlarged, semifirm, and tender.",spongy and walnut-sized.,asymmetrical and nodular.,symmetrical and boggy.,,,,C,"Prostate cancer typically presents with hard, irregular, nodular, or asymmetrical prostate on DRE. Tenderness suggests prostatitis; boggy suggests BPH.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 19-year-old veterinarian assistant presents with right epitrochlear lymphadenopathy. The nurse practitioner suspects atypical case of cat scratch disease (CSD) and knows that:,CSD is not transmitted via feline saliva or exposure to cat fleas.,a 7-day course of a cephalosporin is needed.,"antibiotics are not recommended, and the disease is self-limiting.",the patient will experience fever and fatigue for up to 4 weeks.,,,,C,Cat scratch disease (Bartonella henselae) is typically self-limiting; antibiotics not routinely recommended for mild cases. Transmission via scratches/saliva. Atypical CSD may require antibiotics.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Which of the following antibiotics has the best safety profile for the treatment of urinary tract infection in pregnancy?,Azithromycin (Z-pack),Amoxicillin (Amoxil),Trimethoprim-sulfamethoxazole (Bactrim),Nitrofurantoin (Macrobid),,,,D,Nitrofurantoin is preferred for UTI in pregnancy (except near term). TMP-SMX contraindicated in first trimester and near term. Amoxicillin has higher resistance. Azithromycin not first-line for UTI.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A 35-year-old male complains of an abrupt onset of fever, malaise, pelvic pain, dysuria, and cloudy urine. The nurse practitioner is concerned about possible:",renal calculi.,urethritis.,acute bacterial prostatitis.,epididymitis.,,,,C,"Acute bacterial prostatitis presents with fever, malaise, pelvic/perineal pain, dysuria, often with systemic symptoms. Urethritis typically lacks systemic fever; epididymitis presents with testicular pain; renal calculi with colic.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,The sexual partner of a symptomatic male patient with gonorrhea should be empirically treated with:,doxycycline (Doryx) and cefepime orally.,ceftriaxone (Rocephin) intramuscularly and doxycycline orally.,ceftriaxone (Rocephin) intramuscularly.,metronidazole (Flagyl) orally and penicillin G intramuscularly.,,,,B,CDC recommends dual therapy for gonorrhea: ceftriaxone IM + doxycycline orally for 7 days (if chlamydia not ruled out). Partner treatment is essential to prevent reinfection.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"In a 56-year-old male, the sudden onset of symptoms indicating acute urolithiasis typically presents as:",pain originating in the suprapubic area.,pain originating in the flank area.,severe nausea and vomiting.,hematuria.,,,,B,Acute urolithiasis presents with sudden severe flank pain radiating to groin (renal colic). Nausea/vomiting and hematuria are associated but not the hallmark initial presentation.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"When discussing breast cancer screening with a 45-year-old female, the nurse practitioner explains that:","for a female at average risk of developing breast cancer, screening is not recommended at this age.",screening is only recommended in patients with a history of breast cancer in the immediate family.,discuss the risks versus benefits of screening and use shared decision making to determine when to begin screening.,"a baseline mammogram is recommended now, with follow-up every 5 years.",,,,C,USPSTF recommends shared decision-making for mammography in women aged 40-49. Screening every 1-2 years. Not only for family history.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Small-volume bladder voids that contribute to nocturia are most likely caused by:,stress incontinence.,diuretics.,poor diabetes control.,benign prostatic hypertrophy.,,,,D,"BPH causes nocturia due to incomplete emptying and small-volume voids. Stress incontinence is leakage with cough/sneeze. Diuretics increase total urine volume, not small voids.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 35-year-old patient complains of fatigue and weight gain over the past 6 months. The most appropriate initial test to evaluate for thyroid disorder is:,a thyroid panel.,a thyroid-stimulating hormone level.,free T4 and free T3 levels.,serum anti-TPO antibody level.,,,,B,"TSH is the most sensitive initial test for thyroid dysfunction. If abnormal, then free T4 and possibly T3 are obtained. Antibodies are for autoimmune etiology.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 21-year-old sexually active male reports watery urethral discharge and complaints of dysuria. The MOST likely diagnosis is:,prostatitis.,epididymitis.,urethritis.,chlamydial proctitis.,,,,C,Urethritis presents with urethral discharge (watery or purulent) and dysuria. Prostatitis has pelvic/perineal pain; epididymitis has testicular swelling/pain; proctitis has rectal symptoms.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"A widowed 85-year-old female was recently moved from her home of 65 years to a bedroom in her adult child's home. According to reports by family members, she is now 'cantankerous,' gets 'mixed up' easily, and cries for no apparent reason. The factor or factors in the patient history that are NOT consistent with delirium are:",insidious onset and chronic progressive course.,a new anticholinergic medication.,dehydration and/or malnutrition.,recent changes in surroundings and routines.,,,,A,"Delirium has acute onset, fluctuating course. Insidious, chronic progressive course suggests dementia. Medications, dehydration, environmental changes can trigger delirium.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"When developmental dysplasia of the hip (DDH) is suspected in a 1-month-old infant female, the nurse practitioner would expect to observe:",symmetric gluteal folds and skin creases on both posterior thighs.,a positive Ortolani's maneuver.,inward turning of the leg on the side of the dislocated hip.,limited adduction of the thigh with hip flexion.,,,,B,"Ortolani's maneuver (clunk with abduction) is positive in DDH in infants under 2-3 months. Asymmetric gluteal folds may be present but less specific. Limited abduction, not adduction.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,A 2-year-old child presents with persistent candidal diaper dermatitis. The child has been treated previously with several topical antifungal preparations in an attempt to clear the rash; nothing has been successful. The next step would be for the nurse practitioner to:,prescribe an oral antibiotic.,refer the child to a pediatric dermatologist.,order a CBC.,evaluate for glucose in the urine.,,,,D,Persistent candidal diaper rash despite treatment should prompt evaluation for underlying conditions like diabetes mellitus (glucosuria). Oral antibiotics would worsen candidiasis. Referral after ruling out systemic cause.,regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,The developmental task for the family of an adolescent is to:,provide the adolescent with limits and restrictions.,encourage the adolescent's mastery of physical skills.,enable the adolescent to form a lasting relationship with another person.,provide the adolescent with increasing freedom and responsibility.,,,,D,"Family task for adolescents is to support increasing autonomy while maintaining connection, providing freedom with appropriate responsibility. Limits are needed but not the primary developmental task.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,Which of the following is the current recommendation for human immunodeficiency virus (HIV) screening during pregnancy?,"Women should be tested with each pregnancy at the initial visit, using an 'opt-out' approach.","If the female has been tested at least once and is not high risk, testing is not recommended.",Only women who have risk behaviors should be tested with each pregnancy.,"Obtaining a polymerase chain reaction (PCR) test in the third trimester, just prior to delivery, is recommended.",,,,A,"CDC and ACOG recommend opt-out HIV screening for all pregnant women at first prenatal visit, and repeat testing in third trimester for high-risk or in high-prevalence areas.",regular,,,,
Family Nurse Practitioner,Family Nurse Practitioner Practice Exam Questions​,,"Persistent symptoms of fatigue, lower extremity edema, and paroxysmal nocturnal dyspnea in a 48-year-old female patient would require an evaluation for:",acute aortic dissection.,myocardial ischemia.,anxiety episode.,renal insufficiency.,,,,B,"Paroxysmal nocturnal dyspnea + edema + fatigue suggest heart failure, often due to myocardial ischemia or cardiomyopathy. Aortic dissection presents with acute tearing chest pain; anxiety doesn't cause PND.",regular,,,,
