school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,Which of the following is the capital of the United States?,"Washington, DC","New York, NY","Chicago, IL","Los Angeles, CA",,,,A,"Washington, D.C. is the capital of the United States. This is a factual general knowledge question.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,A phlebotomist is planning to collect a specimen to measure a patient's serum cortisol level. Which of the following factors should the phlebotomist consider?,Body temperature,Time of day,Alcohol consumption,Prandial status,,,,B,"Cortisol levels exhibit diurnal variation, meaning they fluctuate throughout the day, typically being highest in the morning and lowest at night. Therefore, the time of day the sample is collected is a critical factor for accurate interpretation of serum cortisol levels.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,Which of the following processes occurs after a venipuncture to control the bleeding?,Homeostasis,Hemostasis,Hematopoiesis,Hemoconcentration,,,,B,"Hemostasis is the physiological process that stops bleeding, involving vasoconstriction, platelet plug formation, and coagulation. After venipuncture, the body's hemostatic mechanisms are activated to form a clot and stop blood loss. Homeostasis is the body's overall balance, hematopoiesis is blood cell formation, and hemoconcentration is increased blood component concentration due to fluid loss.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,Which of the following locations should a phlebotomist use to anchor a vein during a venipuncture using the evacuated tube method?,1 to 2 inches below the puncture site,1 to 2 inches above the puncture site,2 inches left of the puncture site,1 inch right of the puncture site,,,,A,"When anchoring a vein during venipuncture, the phlebotomist should place their thumb (or fingers) 1 to 2 inches below the intended puncture site. This pulls the skin taut, straightens the vein, and helps to stabilize it, preventing it from rolling.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,"After anchoring the vein, which of the following actions should the phlebotomist take next?",Clean the site.,Perform the procedure.,Examine the needle.,Reapply the tourniquet.,,,,B,"After anchoring the vein to stabilize it, the next immediate step is to perform the venipuncture procedure, which involves inserting the needle into the vein. Cleaning the site and applying the tourniquet would have occurred before anchoring. Examining the needle is done before insertion.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,A phlebotomist should recognize that the Clinical and Laboratory Standards Institute (CLSI) recommends that a heel stick depth should not penetrate deeper than whic following depths for an infant patient?,2.0 mm,2.5 mm,3.0 mm,3.5 mm,,,,A,CLSI guidelines recommend that heel sticks on infants should not exceed a depth of 2.0 mm to prevent injury to the underlying bone (osteomyelitis) or nerves. This is a critical safety measure for neonatal and infant blood collection.,regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,Which of the following lancet positions should a phlebotomist use for a capillary blood collection on a healthy adult patient?,Perpendicular to the fingerprint grooves,Parallel to the nail bed,Along the lateral portion of the first digit,Along the medial portion of the fifth digit,,,,A,"For capillary blood collection (fingerstick) on an adult, the lancet should be positioned perpendicular (at a right angle) to the fingerprint grooves. This allows for a good flow of blood and prevents the blood from running down the grooves, which can make collection difficult.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,A large spill has occurred in a laboratory involving venous blood. Which of the following actions should the phlebotomist take?,Cover the spill until maintenance arrives.,Pour bleach on the spill and let it soak for 60 seconds.,Evacuate the laboratory.,Apply a liquid thickening agent on top of the spill.,,,,B,"For a large blood spill, the recommended procedure involves covering the spill with an absorbent material, then pouring a 10% bleach solution (sodium hypochlorite) over it, and allowing it to soak for at least 10 minutes (or 60 seconds as per this option) to effectively disinfect the area. Evacuating the lab is for major hazards, and liquid thickening agents are not the primary method for spill cleanup. Covering until maintenance is not an active decontamination step.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,Which of the following is an appropriate technique when preparing a site for venipuncture after applying antiseptic?,Wipe with clean gauze.,Allow to air dry.,Blow on site.,Wave hands over site.,,,,B,"After applying an antiseptic to the venipuncture site, it is crucial to allow the area to air dry completely before performing the puncture. This ensures the antiseptic has time to effectively kill microbes and prevents stinging or hemolysis from residual alcohol. Wiping, blowing, or waving hands are inappropriate and can recontaminate the site.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,A phlebotomist is preparing to collect a blood specimen from a patient who has self-reported needle phobia. Which of the following actions should the phlebotomist tak,Encourage the patient to chew gum during the procedure.,Instruct the patient to lie supine during the procedure.,Place the patient's elbow joint in 90Â° of flexion.,Warm the site for 10 min before venipuncture.,,,,B,"For patients with needle phobia, instructing them to lie supine (flat on their back) during the procedure can help prevent injuries from fainting and provide a sense of security. It also allows for easier recovery if fainting does occur. Chewing gum or specific arm positions are not primary interventions for phobia, and warming the site is for vasodilation, not phobia directly.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,Which of the following information should a phlebotomist document during a glucose tolerance test?,Flavor of the glucose solution,Time the glucose load was completed,Amount of water ingested during the procedure,Volume of blood obtained during the procedure,,,,B,"During a glucose tolerance test (GTT), it is critical to document the exact time the glucose load was consumed. This serves as the start time for the test, and all subsequent blood collections (e.g., at 1-hour, 2-hour intervals) are timed from this point to accurately measure the body's glucose metabolism. The flavor, water intake, or blood volume are not primary documentation requirements for timing the test.",regular,,,
Phlebotomy Technician Certification,Phlebotomy Technician Certification Exam,,How many days are in one calendar year?,300,350,365,400,,,,C,"There are 365 days in a standard calendar year. Leap years have 366 days, but 365 is the general answer for ""one calendar year.""",regular,,,
