school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_answer
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following terms describes this payment?,Coinsurance,Copayment,Deductible,Fee-for-service,Premium,,,C,A deductible is the amount a patient must pay out-of-pocket annually before insurance coverage begins. Coinsurance is a percentage of costs shared with the insurer after the deductible is met. Copayment is a fixed fee per service. Fee-for-service is a payment model for provider services. Premium is the regular payment for insurance coverage.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following terms represents a group of tissues arranged to accomplish a specific function?,Cell,Epithelium,Fascia,Membrane,Organ,,,E,An organ is a group of tissues working together to perform a specific function. A cell is the basic unit of life. Epithelium is a tissue type covering surfaces. Fascia is connective tissue supporting structures. A membrane is a thin layer of tissue with specific functions.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,"To prevent excessive bleeding, a patient should stop taking which of the following medications 5 to 7 days before undergoing a surgical procedure?",Atorvastatin (Lipitor),Clopidogrel (Plavix),Levofloxacin (Levaquin),Lisinopril (Zestril),Potassium chloride (K-Dur),,,B,"Clopidogrel (Plavix) is an antiplatelet medication that inhibits clotting, increasing bleeding risk during surgery, so it should be stopped 5-7 days prior. Atorvastatin manages cholesterol, Levofloxacin is an antibiotic, Lisinopril treats hypertension, and Potassium chloride supplements potassium, none of which primarily affect bleeding.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following steps is most important for the medical assistant when scheduling this appointment?,Ask if the patient is taking any medications for diabetes mellitus,Check to be sure the procedure room is available at the same time as the appointment,Ensure that there is enough anesthetic on hand throughout the procedure,Look for a time slot when one of the other physicians is out of the office,Offer the patient the last appointment of the day,,,B,Checking procedure room availability is critical to ensure the excision can be performed as scheduled. Asking about diabetes medications is relevant but less urgent. Ensuring anesthetic availability is the provider’s responsibility. Scheduling around other physicians or offering the last slot is less critical than room availability.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,The assignment of a higher level of Evaluation and Management service when a lesser service is rendered in an attempt to increase reimbursement is known as which of the following?,Bundling codes,Coordinating,Filing a dirty claim,Upcoding,Using modifiers,,,D,Upcoding involves assigning a higher-level service code than provided to increase reimbursement. Bundling codes combines services into one code. Coordinating is unrelated to coding. Filing a dirty claim refers to errors in claims. Using modifiers adjusts codes for specific circumstances.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,The medical assistant should review the patient’s insurance at this time for which of the following reasons?,The insurance company may require precertification,The insurance company may want to increase the patient’s deductible,Insurance notification is considered professional courtesy,It is part of the informed consent process,The surgeon may not accept patients without insurance,,,A,"Precertification is often required by insurance for outpatient surgery to confirm coverage, making it essential to review insurance beforehand. Increasing the deductible is not the medical assistant’s role. Notification as courtesy is not standard. Informed consent involves risks, not insurance. Surgeon’s insurance acceptance is secondary to precertification.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following issues takes precedence in scheduling the patient for this procedure?,Availability of physical facilities,Judgment of the medical assistant,Patient's status (new versus established),Preference of the patient,Preference of the provider,,,A,"Availability of the minor surgery room is critical for scheduling a lipoma removal, as it requires specific facilities. The medical assistant’s judgment, patient status, or preferences of the patient or provider are secondary to ensuring the procedure room is available.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following terms describes high-frequency hearing loss that is associated with the aging process?,Labyrinthitis,Otosclerosis,Presbycusis,Tinnitus,Vertigo,,,C,Presbycusis is age-related high-frequency hearing loss. Labyrinthitis is inner ear inflammation causing vertigo. Otosclerosis is abnormal bone growth affecting hearing. Tinnitus is ringing in the ears. Vertigo is dizziness.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following organisms causes tuberculosis?,Candida,Escherichia,Mycobacterium,Staphylococcus,Streptococcus,,,C,Mycobacterium (specifically Mycobacterium tuberculosis) causes tuberculosis. Candida is a fungal infection. Escherichia (E. coli) causes gastrointestinal issues. Staphylococcus and Streptococcus cause various bacterial infections but not tuberculosis.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is an example of an open-ended question?,Are you married?,Do you have a babysitter?,Do you plan to have children?,How many children do you have?,What child-care arrangements have you made?,,,E,"An open-ended question, like 'What child-care arrangements have you made?', encourages detailed responses. The others are closed-ended, prompting yes/no or specific answers.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following ranges of needle gauges is most appropriate for performing a venipuncture by the syringe method?,15–18,20–23,25–26,27–28,,,,B,"Needle gauges 20–23 are appropriate for venipuncture by syringe, balancing flow rate and patient comfort. Gauges 15–18 are too large, risking vein damage. Gauges 25–26 and 27–28 are too small, slowing collection.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is a major function of protein?,Builds and repairs body tissue,Lubricates the joints and mucous membranes,Prevents disease caused by nutritional deficiencies,Supplies fatty acids to insulate the body,,,,A,"Proteins primarily build and repair body tissues. Lubrication is a function of synovial fluid or mucus. Preventing nutritional deficiency diseases is not a direct protein function. Fatty acids come from lipids, not proteins.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following types of shock is most likely?,Anaphylactic,Cardiogenic,Neurogenic,Respiratory,Septic,,,C,"Neurogenic shock is most likely due to spinal cord injury disrupting autonomic nervous system control, causing vasodilation and hypotension. Anaphylactic shock involves allergic reactions, cardiogenic shock stems from heart failure, respiratory shock from lung failure, and septic shock from infection.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,How many tablets should the patient receive?,0.5,1,1.5,2,2.5,,,D,"0.7 grams = 700 mg. Each tablet is 350 mg. 700 ÷ 350 = 2 tablets. Thus, the patient should receive 2 tablets. Other options do not match the calculation.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the most likely reason for the medical assistant’s call?,Checking prior authorization status,Determining medical necessity,Monitoring referral status,Tracking an unpaid claim,Verifying insurance eligibility,,,D,"Calling 30 days after a claim submission with patient and service details is most likely to track an unpaid claim’s status. Prior authorization or eligibility is typically checked before service, medical necessity is determined by providers, and referral status is unrelated to claim payment.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Iron deficiency anemia is described as which of the following?,Macrocytic polychromic,Microcytic hypochromic,Microcytic normochromic,Normocytic hypochromic,Normocytic polychromic,,,B,"Iron deficiency anemia is microcytic hypochromic, with small, pale red blood cells due to low hemoglobin from iron deficiency. Macrocytic anemia involves large cells, normocytic involves normal-sized cells, and polychromic or normochromic refer to color variations not typical of iron deficiency.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the route of administration for parenteral medications?,Oral,Inhalation,Injection,Installation,Transdermal,,,C,"Parenteral medications are administered via injection, bypassing the digestive system. Oral is enteral, inhalation delivers via lungs, installation is for localized application (e.g., eyes), and transdermal is through the skin.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following terms describes an agent that alleviates or eases a painful condition but does not cure the patient?,Analaptic,Homeopathic,Idiopathic,Palliative,Prophylactic,,,D,"Palliative agents relieve symptoms without curing the underlying condition. Analaptic is not a standard term, homeopathic refers to alternative treatments, idiopathic means unknown cause, and prophylactic prevents disease.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the most appropriate first step?,Ask the patient the reason for the call,Confirm the date of the patient’s last office visit,Prepare the patient’s medical record for the provider to review,Tell the patient that the provider will return the call after regular office hours,Verify the patient’s contact information,,,A,"Asking the reason for the call helps determine urgency and appropriate action. Confirming visit dates, preparing records, or verifying contact info is secondary. Promising a call-back after hours delays response.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following tests is most likely being described?,Angiography,Echocardiography,Electrocardiography,Holter monitoring,Stress testing,,,E,"Stress testing measures heart response during exertion, ideal for assessing coronary artery disease. Angiography visualizes vessels, echocardiography uses ultrasound, electrocardiography records electrical activity at rest, and Holter monitoring tracks heart activity over time.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is an effective technique for a medical assistant to use when communicating with a non-English-speaking patient via a translator?,Provide written instructions,Speak directly to the patient,Speak directly to the translator,Speak loudly and slowly,Use correct medical terminology,,,B,"Speaking directly to the patient via a translator maintains personal connection and clarity. Written instructions may not be understood, speaking to the translator excludes the patient, loud speech doesn’t aid translation, and medical jargon may confuse.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following cellular elements are essential to coagulation?,Basophils,Eosinophils,Lymphocytes,Monocytes,Thrombocytes,,,E,"Thrombocytes (platelets) are essential for coagulation, forming clots to stop bleeding. Basophils, eosinophils, lymphocytes, and monocytes are involved in immune responses, not primarily in clotting.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,"When obtaining a patient's systolic blood pressure, which of the following arteries should be palpated?",Apical,Brachial,Carotid,Popliteal,Radial,,,B,"The brachial artery is palpated to measure systolic blood pressure accurately using a cuff. Apical is for heart rate, carotid and radial are for pulses, and popliteal is in the leg, less suitable for standard BP measurement.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the final “right” of drug administration?,Right documentation,Right dose,Right patient,Right technique,Right time,,,A,"Right documentation is the final 'right' in the five rights of drug administration (patient, drug, dose, route, time), ensuring accurate recording. The others are earlier steps in the process.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following tubes is required when drawing blood to measure prothrombin time?,EDTA (lavender),Potassium oxalate (gray),Sodium citrate (light blue),Sodium heparin (green),,,,C,"Sodium citrate (light blue top) tubes are used for prothrombin time tests, as citrate prevents clotting by binding calcium, preserving coagulation factors. EDTA, potassium oxalate, and sodium heparin are used for other tests.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following must be documented in the progress note of this patient’s electronic health record?,Date and time of the call,Date of her last office visit,Patient’s date of birth,Primary care physician’s name,Recent laboratory results,,,A,The date and time of the call must be documented to track communication and ensure accurate records. Other options may be relevant but are not mandatory for the progress note.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,This medication is known to cause irritation to subcutaneous tissues and needs to penetrate deep into the gluteus muscle. Which of the following injection techniques is the medical assistant most likely to use?,Intradermal,Intraosseous,Subcutaneous,Z-track,,,,D,"The Z-track technique is used for iron dextran injections to prevent leakage and irritation by sealing the medication deep in the gluteus muscle. Intradermal and subcutaneous are too shallow, and intraosseous is for bone marrow.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following terms best represents this process?,Assignment of benefits,Capitation,Coinsurance,Estimation,Precertification,,,E,"Precertification is the process of verifying insurance coverage for a cardiac stress test. Assignment of benefits transfers payment rights, capitation is a fixed payment model, coinsurance is cost-sharing, and estimation is not a standard term.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,"Before stocking a shipment of supplies, a medical assistant should check the contents of the shipment against which of the following?",Current inventory in the supply closet,Enclosed packing slip,Original list used for placing the order,Past invoices for similar supplies,Prices from the vendor's website,,,B,"The enclosed packing slip lists the shipped items, ensuring accuracy before stocking. Current inventory, original order lists, past invoices, or vendor prices are less direct for verifying shipment contents.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Biohazardous waste must be collected in which of the following types of containers?,Impermeable polyethylene bag,Metal dumpster,Plastic recycling bin,Plastic garbage can with a lid,Recycled plastic bag,,,A,Biohazardous waste requires impermeable polyethylene bags (often red or labeled) to prevent leakage and ensure safe disposal. Other options are not suitable for biohazardous materials.,regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following fractures is characterized by an external wound?,Comminuted,Complicated,Compound,Greensitck,Impacted,,,C,"A compound fracture involves a bone breaking through the skin, creating an external wound. Comminuted fractures are shattered bones, complicated involve organ damage, greenstick are partial breaks, and impacted are compressed fractures.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is used to determine the total number of white blood cells in urine?,Chemical test strip,Microscope,Refractometer,Urinometer,,,,B,"A microscope is used to count white blood cells in urine sediment for accurate analysis. Chemical test strips detect other substances, refractometers measure specific gravity, and urinometers are outdated density tools.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following drugs is used in conjunction with diet therapy to reduce a patient's serum cholesterol level?,Azithromycin (Zithromax),Lisinopril (Zestril),Sertraline (Zoloft),Simvastatin (Zocor),Zolpidem (Ambien),,,D,"Simvastatin (Zocor) is a statin used with diet to lower cholesterol. Azithromycin is an antibiotic, Lisinopril treats hypertension, Sertraline is an antidepressant, and Zolpidem is for sleep.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following types of consent has this patient provided?,Informed,Written,Explicit,Verbal,Implied,,,E,"Implied consent is shown by the patient’s actions, like presenting his arm for a vaccine. Informed consent requires detailed discussion, written consent involves a signed form, explicit consent is clear agreement, and verbal consent is spoken agreement.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the most serious adverse effect in a patient who received an allergy injection?,Erythematous wheal,Pruritus at the injection site,Sneezing,Ulceration at the injection site,Wheezing and light-headedness,,,E,"Wheezing and light-headedness indicate anaphylaxis, a life-threatening reaction requiring immediate attention. Erythematous wheal, pruritus, sneezing, and ulceration are less severe.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,"If a medical assistant gives a patient an injection after the patient has refused the injection, it could result in which of the following charges?",Assault,Battery,False imprisonment,Negligence,Noncompliance,,,B,"Battery is unauthorized physical contact, such as giving an injection against a patient’s refusal. Assault is the threat of contact, false imprisonment restricts movement, negligence is failure to meet care standards, and noncompliance is patient refusal to follow treatment.",regular,,,
Medical Assistant,American Association of Medical Assistants Exam,,Which of the following is the best way to manage time so the physician is able to review test results and return calls to patients?,Ask the physician to report to the office 90 minutes early when reports arrive.,Block out two hours at the end of each day for physician paperwork.,Leave an appointment slot open in the schedule each morning and afternoon for buffer time.,Review the reports for the physician and give her the ones that are abnormal.,Schedule follow-up appointments for all patients as reports arrive to allow the physician and patient to review them together.,,,C,"Leaving open appointment slots daily provides buffer time for physicians to review results and return calls without disrupting patient care. Early arrivals, end-of-day blocks, pre-screening reports, or scheduling follow-ups are less flexible or efficient.",regular,,,
